"filename"	"functions"	"line"	"value"
"R/kendalltau.R"	"ici_kendalltau"	139	0
"R/kendalltau.R"	"ici_kendalltau"	140	0
"R/kendalltau.R"	"ici_kendalltau"	142	0
"R/kendalltau.R"	"ici_kendalltau"	143	0
"R/kendalltau.R"	"setup_comparisons"	219	0
"R/kendalltau.R"	"setup_comparisons"	220	0
"R/kendalltau.R"	"setup_comparisons"	221	0
"R/kendalltau.R"	"setup_comparisons"	222	0
"R/kendalltau.R"	"setup_comparisons"	223	0
"R/kendalltau.R"	"setup_comparisons"	230	0
"R/kendalltau.R"	"setup_comparisons"	231	0
"R/kendalltau.R"	"setup_comparisons"	232	0
"R/kendalltau.R"	"setup_comparisons"	233	0
"R/kendalltau.R"	"ici_split"	283	0
"R/kendalltau.R"	"kt_split"	307	0
"R/kendalltau.R"	"kt_split"	308	0
"R/kendalltau.R"	"kt_split"	309	0
"R/kendalltau.R"	"kt_split"	311	0
"R/kendalltau.R"	"kt_split"	312	0
"R/kendalltau.R"	"kt_split"	313	0
"R/kendalltau.R"	"kt_split"	320	0
"R/kendalltau.R"	"kt_split"	321	0
"R/kendalltau.R"	"kt_split"	330	0
"R/kendalltau.R"	"kt_fast"	472	0
"R/kendalltau.R"	"kt_fast"	519	0
"R/kendalltau.R"	"check_icikt_timing"	611	0
"R/kendalltau.R"	"check_icikt_timing"	612	0
"R/kendalltau.R"	"check_icikt_timing"	613	0
"R/kendalltau.R"	"check_icikt_timing"	614	0
"R/kendalltau.R"	"check_icikt_timing"	615	0
"R/kendalltau.R"	"check_icikt_timing"	617	0
"R/kendalltau.R"	"check_icikt_timing"	618	0
"R/kendalltau.R"	"check_icikt_timing"	619	0
"R/kendalltau.R"	"check_icikt_timing"	621	0
"R/kendalltau.R"	"check_icikt_timing"	623	0
"R/kendalltau.R"	"check_icikt_timing"	624	0
"R/kendalltau.R"	"check_icikt_timing"	626	0
"R/kendalltau.R"	"check_icikt_timing"	627	0
"R/kendalltau.R"	"check_icikt_timing"	628	0
"R/kendalltau.R"	"check_icikt_timing"	629	0
"R/kendalltau.R"	"check_icikt_timing"	630	0
"R/kendalltau.R"	"check_icikt_timing"	631	0
"R/kendalltau.R"	"check_icikt_timing"	632	0
"R/kendalltau.R"	"check_icikt_timing"	633	0
"R/kendalltau.R"	"check_icikt_timing"	634	0
"R/kendalltau.R"	"check_icikt_timing"	635	0
"R/kendalltau.R"	"check_icikt_timing"	636	0
"R/kendalltau.R"	"check_icikt_timing"	637	0
"R/kendalltau.R"	"check_icikt_timing"	638	0
"R/kendalltau.R"	"check_icikt_timing"	639	0
"R/kendalltau.R"	"check_icikt_timing"	640	0
"R/kendalltau.R"	"check_icikt_timing"	641	0
"R/kendalltau.R"	"check_icikt_timing"	642	0
"R/kendalltau.R"	"check_icikt_timing"	643	0
"R/kendalltau.R"	"check_icikt_timing"	644	0
"R/left_censorship.R"	"test_left_censorship"	40	0
"R/left_censorship.R"	"test_left_censorship"	94	0
"R/left_censorship.R"	"calculate_matrix_medians"	115	0
"R/left_censorship.R"	"add_uniform_noise"	148	0
"R/logging.R"	"log_memory"	9	0
"R/logging.R"	"log_memory"	10	0
"R/logging.R"	"log_memory"	11	0
"R/logging.R"	"log_memory"	12	0
"R/logging.R"	"log_memory"	14	0
"R/logging.R"	"log_memory"	15	0
"R/logging.R"	"log_memory"	16	0
"R/logging.R"	"log_memory"	17	0
"R/logging.R"	"log_memory"	18	0
"R/logging.R"	"log_memory"	20	0
"R/logging.R"	"log_memory"	21	0
"R/logging.R"	"log_memory"	22	0
"R/logging.R"	"log_memory"	23	0
"R/logging.R"	"log_memory"	26	0
"R/logging.R"	"log_memory"	27	0
"R/logging.R"	"log_memory"	28	0
"R/logging.R"	"log_memory"	32	0
"R/logging.R"	"log_memory"	33	0
"R/logging.R"	"log_memory"	34	0
"R/logging.R"	"log_memory"	35	0
"R/logging.R"	"log_memory"	37	0
"R/logging.R"	"log_memory"	40	0
"R/logging.R"	"log_memory"	41	0
"R/logging.R"	"log_message"	58	0
"R/logging.R"	"log_message"	61	0
"R/logging.R"	"disable_logging"	73	0
"R/logging.R"	"disable_logging"	74	0
"R/logging.R"	"enable_logging"	98	0
"R/logging.R"	"enable_logging"	99	0
"R/logging.R"	"enable_logging"	100	0
"R/logging.R"	"enable_logging"	102	0
"R/logging.R"	"enable_logging"	104	0
"R/logging.R"	"enable_logging"	105	0
"R/logging.R"	"enable_logging"	106	0
"R/logging.R"	"enable_logging"	107	0
"R/logging.R"	"enable_logging"	110	0
"R/logging.R"	"enable_logging"	111	0
"R/logging.R"	"enable_logging"	112	0
"R/logging.R"	"enable_logging"	113	0
"R/logging.R"	"enable_logging"	114	0
"R/logging.R"	"enable_logging"	116	0
"R/logging.R"	"enable_logging"	119	0
"R/logging.R"	"show_progress"	134	0
"R/other_correlations.R"	"cor_fast"	67	0
"R/other_correlations.R"	"cor_fast"	72	0
"R/other_correlations.R"	"cor_fast"	73	0
"R/other_correlations.R"	"cor_fast"	75	0
"R/other_correlations.R"	"cor_fast"	80	0
"R/other_correlations.R"	"cor_fast"	81	0
"R/other_correlations.R"	"cor_fast"	82	0
"R/other_correlations.R"	"cor_fast"	83	0
"R/other_correlations.R"	"cor_fast"	84	0
"R/other_correlations.R"	"cor_fast"	100	0
"R/other_correlations.R"	"cor_fast"	122	0
"R/other_correlations.R"	"cor_split"	141	0
"R/other_correlations.R"	"cor_split"	142	0
"R/other_correlations.R"	"cor_split"	143	0
"R/other_correlations.R"	"cor_split"	145	0
"R/other_correlations.R"	"cor_split"	146	0
"R/other_correlations.R"	"cor_split"	147	0
"R/other_correlations.R"	"cor_split"	154	0
"R/other_correlations.R"	"cor_split"	155	0
"R/other_correlations.R"	"cor_split"	167	0
"R/rank-ordering.R"	"rank_order_data"	18	0
"R/rank-ordering.R"	"rank_order_data"	19	0
"R/rank-ordering.R"	"rank_order_data"	21	0
"R/rank-ordering.R"	"rank_order_data"	22	0
"R/rank-ordering.R"	"rank_order_data"	23	0
"R/rank-ordering.R"	"rank_order_data"	25	0
"R/rank-ordering.R"	"rank_order_data"	26	0
"R/rank-ordering.R"	"rank_order_data"	29	0
"R/rank-ordering.R"	"rank_order_data"	31	0
"R/rank-ordering.R"	"rank_order_data"	32	0
"R/rank-ordering.R"	"rank_order_data"	33	0
"R/rank-ordering.R"	"rank_order_data"	34	0
"R/rank-ordering.R"	"rank_order_data"	35	0
"R/rank-ordering.R"	"rank_order_data"	36	0
"R/rank-ordering.R"	"rank_order_data"	38	0
"R/rank-ordering.R"	"rank_order_data"	39	0
"R/rank-ordering.R"	"rank_order_data"	40	0
"R/rank-ordering.R"	"rank_order_data"	42	0
"R/rank-ordering.R"	"rank_order_data"	43	0
"R/rank-ordering.R"	"rank_order_data"	44	0
"R/rank-ordering.R"	"rank_order_data"	45	0
"R/rank-ordering.R"	"rank_order_data"	46	0
"R/rank-ordering.R"	"rank_order_data"	47	0
"R/rank-ordering.R"	"rank_order_data"	48	0
"R/rank-ordering.R"	"rank_order_data"	50	0
"R/rank-ordering.R"	"rank_order_data"	51	0
"R/rank-ordering.R"	"rank_order_data"	52	0
"R/rank-ordering.R"	"rank_order_data"	53	0
"R/rank-ordering.R"	"rank_order_data"	54	0
"R/rank-ordering.R"	"rank_order_data"	56	0
"R/rank-ordering.R"	"rank_order_data"	57	0
"R/rank-ordering.R"	"rank_order_data"	58	0
"R/rank-ordering.R"	"rank_order_data"	59	0
"R/rank-ordering.R"	"rank_order_data"	60	0
"R/rank-ordering.R"	"rank_order_data"	61	0
"R/rank-ordering.R"	"rank_order_data"	63	0
"R/rank-ordering.R"	"rank_order_data"	64	0
"R/rank-ordering.R"	"rank_order_data"	67	0
"R/reference.R"	"ici_kendalltau_ref"	29	0
"R/reference.R"	"ici_kendalltau_ref"	33	0
"R/reference.R"	"ici_kendalltau_ref"	34	0
"R/reference.R"	"ici_kendalltau_ref"	35	0
"R/reference.R"	"ici_kendalltau_ref"	36	0
"R/reference.R"	"ici_kendalltau_ref"	39	0
"R/reference.R"	"ici_kendalltau_ref"	40	0
"R/reference.R"	"ici_kendalltau_ref"	41	0
"R/reference.R"	"ici_kendalltau_ref"	48	0
"R/reference.R"	"ici_kendalltau_ref"	49	0
"R/reference.R"	"ici_kendalltau_ref"	50	0
"R/reference.R"	"ici_kendalltau_ref"	55	0
"R/reference.R"	"ici_kendalltau_ref"	56	0
"R/reference.R"	"ici_kendalltau_ref"	59	0
"R/reference.R"	"ici_kendalltau_ref"	60	0
"R/reference.R"	"ici_kendalltau_ref"	61	0
"R/reference.R"	"ici_kendalltau_ref"	62	0
"R/reference.R"	"ici_kendalltau_ref"	63	0
"R/reference.R"	"ici_kendalltau_ref"	64	0
"R/reference.R"	"ici_kendalltau_ref"	71	0
"R/reference.R"	"ici_kendalltau_ref"	72	0
"R/reference.R"	"ici_kendalltau_ref"	73	0
"R/reference.R"	"ici_kendalltau_ref"	74	0
"R/reference.R"	"ici_kendalltau_ref"	75	0
"R/reference.R"	"ici_kendalltau_ref"	76	0
"R/reference.R"	"ici_kendalltau_ref"	77	0
"R/reference.R"	"ici_kendalltau_ref"	79	0
"R/reference.R"	"ici_kendalltau_ref"	80	0
"R/reference.R"	"ici_kendalltau_ref"	82	0
"R/reference.R"	"ici_kendalltau_ref"	85	0
"R/reference.R"	"ici_kendalltau_ref"	86	0
"R/reference.R"	"ici_kendalltau_ref"	87	0
"R/reference.R"	"ici_kendalltau_ref"	90	0
"R/reshaping.R"	"cor_matrix_2_long_df"	26	0
"R/utils.R"	"check_furrr"	75	0
"R/utils.R"	"check_furrr"	76	0
"src/helpers.cpp"	NA	6	0
"src/helpers.cpp"	NA	7	0
"src/helpers.cpp"	NA	8	0
