"filename" "functions" "line" "value"
"460" "R/kendalltau.R" "ici_kendalltau" 139 0
"462" "R/kendalltau.R" "ici_kendalltau" 140 0
"467" "R/kendalltau.R" "ici_kendalltau" 142 0
"469" "R/kendalltau.R" "ici_kendalltau" 143 0
"562" "R/kendalltau.R" "setup_comparisons" 219 0
"564" "R/kendalltau.R" "setup_comparisons" 220 0
"565" "R/kendalltau.R" "setup_comparisons" 221 0
"566" "R/kendalltau.R" "setup_comparisons" 222 0
"567" "R/kendalltau.R" "setup_comparisons" 223 0
"576" "R/kendalltau.R" "setup_comparisons" 230 0
"578" "R/kendalltau.R" "setup_comparisons" 231 0
"580" "R/kendalltau.R" "setup_comparisons" 232 0
"581" "R/kendalltau.R" "setup_comparisons" 233 0
"645" "R/kendalltau.R" "ici_split" 283 0
"676" "R/kendalltau.R" "kt_split" 307 0
"678" "R/kendalltau.R" "kt_split" 308 0
"680" "R/kendalltau.R" "kt_split" 309 0
"682" "R/kendalltau.R" "kt_split" 311 0
"684" "R/kendalltau.R" "kt_split" 312 0
"686" "R/kendalltau.R" "kt_split" 313 0
"697" "R/kendalltau.R" "kt_split" 320 0
"699" "R/kendalltau.R" "kt_split" 321 0
"710" "R/kendalltau.R" "kt_split" 330 0
"856" "R/kendalltau.R" "kt_fast" 472 0
"919" "R/kendalltau.R" "kt_fast" 519 0
"965" "R/kendalltau.R" "check_icikt_timing" 611 0
"966" "R/kendalltau.R" "check_icikt_timing" 612 0
"967" "R/kendalltau.R" "check_icikt_timing" 613 0
"968" "R/kendalltau.R" "check_icikt_timing" 614 0
"969" "R/kendalltau.R" "check_icikt_timing" 615 0
"970" "R/kendalltau.R" "check_icikt_timing" 617 0
"971" "R/kendalltau.R" "check_icikt_timing" 618 0
"972" "R/kendalltau.R" "check_icikt_timing" 619 0
"973" "R/kendalltau.R" "check_icikt_timing" 621 0
"974" "R/kendalltau.R" "check_icikt_timing" 623 0
"975" "R/kendalltau.R" "check_icikt_timing" 624 0
"976" "R/kendalltau.R" "check_icikt_timing" 626 0
"977" "R/kendalltau.R" "check_icikt_timing" 627 0
"978" "R/kendalltau.R" "check_icikt_timing" 628 0
"979" "R/kendalltau.R" "check_icikt_timing" 629 0
"980" "R/kendalltau.R" "check_icikt_timing" 630 0
"981" "R/kendalltau.R" "check_icikt_timing" 631 0
"982" "R/kendalltau.R" "check_icikt_timing" 632 0
"983" "R/kendalltau.R" "check_icikt_timing" 633 0
"984" "R/kendalltau.R" "check_icikt_timing" 634 0
"985" "R/kendalltau.R" "check_icikt_timing" 635 0
"986" "R/kendalltau.R" "check_icikt_timing" 636 0
"987" "R/kendalltau.R" "check_icikt_timing" 637 0
"988" "R/kendalltau.R" "check_icikt_timing" 638 0
"989" "R/kendalltau.R" "check_icikt_timing" 639 0
"990" "R/kendalltau.R" "check_icikt_timing" 640 0
"991" "R/kendalltau.R" "check_icikt_timing" 641 0
"992" "R/kendalltau.R" "check_icikt_timing" 642 0
"993" "R/kendalltau.R" "check_icikt_timing" 643 0
"994" "R/kendalltau.R" "check_icikt_timing" 644 0
"123" "R/left_censorship.R" "test_left_censorship" 40 0
"338" "R/left_censorship.R" "test_left_censorship" 94 0
"400" "R/left_censorship.R" "calculate_matrix_medians" 115 0
"476" "R/left_censorship.R" "add_uniform_noise" 148 0
"12" "R/logging.R" "log_memory" 9 0
"15" "R/logging.R" "log_memory" 10 0
"16" "R/logging.R" "log_memory" 11 0
"20" "R/logging.R" "log_memory" 12 0
"24" "R/logging.R" "log_memory" 14 0
"25" "R/logging.R" "log_memory" 15 0
"27" "R/logging.R" "log_memory" 16 0
"31" "R/logging.R" "log_memory" 17 0
"34" "R/logging.R" "log_memory" 18 0
"42" "R/logging.R" "log_memory" 20 0
"44" "R/logging.R" "log_memory" 21 0
"48" "R/logging.R" "log_memory" 22 0
"53" "R/logging.R" "log_memory" 23 0
"63" "R/logging.R" "log_memory" 26 0
"66" "R/logging.R" "log_memory" 27 0
"68" "R/logging.R" "log_memory" 28 0
"82" "R/logging.R" "log_memory" 32 0
"88" "R/logging.R" "log_memory" 33 0
"94" "R/logging.R" "log_memory" 34 0
"100" "R/logging.R" "log_memory" 35 0
"108" "R/logging.R" "log_memory" 37 0
"121" "R/logging.R" "log_memory" 40 0
"126" "R/logging.R" "log_memory" 41 0
"202" "R/logging.R" "log_message" 58 0
"222" "R/logging.R" "log_message" 61 0
"270" "R/logging.R" "disable_logging" 73 0
"274" "R/logging.R" "disable_logging" 74 0
"345" "R/logging.R" "enable_logging" 98 0
"347" "R/logging.R" "enable_logging" 99 0
"351" "R/logging.R" "enable_logging" 100 0
"354" "R/logging.R" "enable_logging" 102 0
"360" "R/logging.R" "enable_logging" 104 0
"363" "R/logging.R" "enable_logging" 105 0
"367" "R/logging.R" "enable_logging" 106 0
"372" "R/logging.R" "enable_logging" 107 0
"380" "R/logging.R" "enable_logging" 110 0
"384" "R/logging.R" "enable_logging" 111 0
"388" "R/logging.R" "enable_logging" 112 0
"391" "R/logging.R" "enable_logging" 113 0
"397" "R/logging.R" "enable_logging" 114 0
"404" "R/logging.R" "enable_logging" 116 0
"416" "R/logging.R" "enable_logging" 119 0
"451" "R/logging.R" "show_progress" 134 0
"250" "R/other_correlations.R" "cor_fast" 67 0
"265" "R/other_correlations.R" "cor_fast" 72 0
"269" "R/other_correlations.R" "cor_fast" 73 0
"279" "R/other_correlations.R" "cor_fast" 75 0
"297" "R/other_correlations.R" "cor_fast" 80 0
"301" "R/other_correlations.R" "cor_fast" 81 0
"304" "R/other_correlations.R" "cor_fast" 82 0
"308" "R/other_correlations.R" "cor_fast" 83 0
"311" "R/other_correlations.R" "cor_fast" 84 0
"350" "R/other_correlations.R" "cor_fast" 100 0
"426" "R/other_correlations.R" "cor_fast" 122 0
"464" "R/other_correlations.R" "cor_split" 141 0
"466" "R/other_correlations.R" "cor_split" 142 0
"468" "R/other_correlations.R" "cor_split" 143 0
"472" "R/other_correlations.R" "cor_split" 145 0
"474" "R/other_correlations.R" "cor_split" 146 0
"475" "R/other_correlations.R" "cor_split" 147 0
"483" "R/other_correlations.R" "cor_split" 154 0
"485" "R/other_correlations.R" "cor_split" 155 0
"502" "R/other_correlations.R" "cor_split" 167 0
"35" "R/rank-ordering.R" "rank_order_data" 18 0
"40" "R/rank-ordering.R" "rank_order_data" 19 0
"45" "R/rank-ordering.R" "rank_order_data" 21 0
"49" "R/rank-ordering.R" "rank_order_data" 22 0
"54" "R/rank-ordering.R" "rank_order_data" 23 0
"60" "R/rank-ordering.R" "rank_order_data" 25 0
"64" "R/rank-ordering.R" "rank_order_data" 26 0
"74" "R/rank-ordering.R" "rank_order_data" 29 0
"78" "R/rank-ordering.R" "rank_order_data" 31 0
"83" "R/rank-ordering.R" "rank_order_data" 32 0
"89" "R/rank-ordering.R" "rank_order_data" 33 0
"95" "R/rank-ordering.R" "rank_order_data" 34 0
"101" "R/rank-ordering.R" "rank_order_data" 35 0
"105" "R/rank-ordering.R" "rank_order_data" 36 0
"112" "R/rank-ordering.R" "rank_order_data" 38 0
"116" "R/rank-ordering.R" "rank_order_data" 39 0
"122" "R/rank-ordering.R" "rank_order_data" 40 0
"129" "R/rank-ordering.R" "rank_order_data" 42 0
"131" "R/rank-ordering.R" "rank_order_data" 43 0
"137" "R/rank-ordering.R" "rank_order_data" 44 0
"140" "R/rank-ordering.R" "rank_order_data" 45 0
"146" "R/rank-ordering.R" "rank_order_data" 46 0
"151" "R/rank-ordering.R" "rank_order_data" 47 0
"158" "R/rank-ordering.R" "rank_order_data" 48 0
"170" "R/rank-ordering.R" "rank_order_data" 50 0
"173" "R/rank-ordering.R" "rank_order_data" 51 0
"176" "R/rank-ordering.R" "rank_order_data" 52 0
"180" "R/rank-ordering.R" "rank_order_data" 53 0
"182" "R/rank-ordering.R" "rank_order_data" 54 0
"193" "R/rank-ordering.R" "rank_order_data" 56 0
"199" "R/rank-ordering.R" "rank_order_data" 57 0
"203" "R/rank-ordering.R" "rank_order_data" 58 0
"209" "R/rank-ordering.R" "rank_order_data" 59 0
"216" "R/rank-ordering.R" "rank_order_data" 60 0
"223" "R/rank-ordering.R" "rank_order_data" 61 0
"234" "R/rank-ordering.R" "rank_order_data" 63 0
"239" "R/rank-ordering.R" "rank_order_data" 64 0
"251" "R/rank-ordering.R" "rank_order_data" 67 0
"73" "R/reference.R" "ici_kendalltau_ref" 29 0
"87" "R/reference.R" "ici_kendalltau_ref" 33 0
"93" "R/reference.R" "ici_kendalltau_ref" 34 0
"99" "R/reference.R" "ici_kendalltau_ref" 35 0
"104" "R/reference.R" "ici_kendalltau_ref" 36 0
"115" "R/reference.R" "ici_kendalltau_ref" 39 0
"120" "R/reference.R" "ici_kendalltau_ref" 40 0
"125" "R/reference.R" "ici_kendalltau_ref" 41 0
"157" "R/reference.R" "ici_kendalltau_ref" 48 0
"162" "R/reference.R" "ici_kendalltau_ref" 49 0
"168" "R/reference.R" "ici_kendalltau_ref" 50 0
"186" "R/reference.R" "ici_kendalltau_ref" 55 0
"191" "R/reference.R" "ici_kendalltau_ref" 56 0
"208" "R/reference.R" "ici_kendalltau_ref" 59 0
"214" "R/reference.R" "ici_kendalltau_ref" 60 0
"221" "R/reference.R" "ici_kendalltau_ref" 61 0
"228" "R/reference.R" "ici_kendalltau_ref" 62 0
"232" "R/reference.R" "ici_kendalltau_ref" 63 0
"238" "R/reference.R" "ici_kendalltau_ref" 64 0
"261" "R/reference.R" "ici_kendalltau_ref" 71 0
"266" "R/reference.R" "ici_kendalltau_ref" 72 0
"271" "R/reference.R" "ici_kendalltau_ref" 73 0
"275" "R/reference.R" "ici_kendalltau_ref" 74 0
"280" "R/reference.R" "ici_kendalltau_ref" 75 0
